1993/05/08 43.8 64 43.8 58.5 7124 
1993/06/01 58 69 58 61.5 13960 
1993/07/02 61.5 63 59 61 3593 
1993/08/02 62 65 51 52 6367 
1993/09/01 52 59.5 51.5 58 5879 
1993/10/01 57.5 58.5 55.5 58 3136 
1993/11/02 58.5 60.5 58 59.5 3522 
1993/12/01 59.5 72.5 59.5 65.5 16645 
1994/01/05 66.5 68 60 60.5 11624 
1994/02/01 60.5 61 54.5 55 3784 
1994/03/01 55 61 54 58 8385 
1994/04/01 57.5 60.5 56 57 9031 
1994/05/02 57 59 55 55 6563 
1994/06/01 55 57.5 53.5 55.5 6004 
1994/07/02 56 58.5 53.5 57.5 11004 
1994/08/01 58 61 40.5 44.2 18262 
1994/09/01 44.4 49 40 40 31733 
1994/10/01 40.4 40.6 31.8 35.5 15185 
1994/11/01 34 34.6 31.3 32.5 8767 
1994/12/01 32.5 37.5 32.3 36.1 28746 
1995/01/05 35.5 36.6 32.1 32.2 11515 
1995/02/04 32.8 33.5 31.4 32.8 5609 
1995/03/01 32.8 34.7 32.1 32.4 11631 
1995/04/01 32.6 36 32.2 33.3 31883 
1995/05/01 33 33.4 30.5 32.1 17162 
1995/06/01 32.3 33.2 29.3 29.7 14624 
1995/07/03 25 25.2 19.2 20.4 8787 
1995/08/01 20.5 20.6 15.9 18.3 8093 
1995/09/01 18.4 22.8 18.1 20.6 27368 
1995/10/02 20.7 22.4 19.7 19.7 24798 
1995/11/01 19.7 23 18.3 21.3 20297 
1995/12/01 21.3 24.2 20.8 21.3 30966 
1996/01/04 21.5 23.4 19.6 19.9 27410 
1996/02/01 19.9 22.7 19.9 22.5 17579 
1996/03/01 22.4 24.6 21.5 23.5 30835 
1996/04/01 23.7 27.6 23.2 27.3 51499 
1996/05/01 27.5 28.2 25.6 26.3 28325 
1996/06/01 26.5 27.3 25.8 26.6 18449 
1996/07/02 26.6 28.1 25.2 27.2 22558 
1996/08/02 27.5 30.2 25.2 26.7 41047 
1996/09/02 26.5 28.5 26 28.2 25984 
1996/10/01 28.4 31.2 28 30.2 36558 
1996/11/01 30.5 31.8 29.4 30 42129 
1996/12/02 30.2 32 29 31.6 41934 
1997/01/04 30.8 35.6 30.6 33.5 56264 
1997/02/01 33.7 43 33.1 40 94452 
1997/03/01 40 45.3 39.3 42.4 77851 
1997/04/01 42.4 47.6 42.4 47.2 98183 
1997/05/02 47.5 47.8 41.2 42.8 33715 
1997/06/02 42.5 44.6 41.5 42.8 31044 
