日期：2017/12/19
所有評分總合為 102 分。
不含大盤評分總合為 50 分)。
總評分一半分數以上的公司數：0
評估分數排名：
	排名 1 1307 三芳(塑膠) 15 分
	排名 2 1604 聲寶(電器電纜) 14 分
	排名 3 4532 瑞智(電機) 14 分
	排名 4 2204 中華(汽車) 13 分
	排名 5 2105 正新(橡膠) 13 分
	排名 6 8429 金麗-KY(貿易百貨) 12 分
	排名 7 3189 景碩(半導體) 11 分
	排名 8 2231 為升(電機) 11 分
	排名 9 1582 信錦(電子零組件) 11 分
	排名 10 2308 台達電(電子零組件) 11 分
	排名 11 3022 威強電(電腦週邊) 11 分
	排名 12 2106 建大(橡膠) 10 分
	排名 13 1521 大億(電機) 10 分
	排名 14 6442 光聖(通信網路) 10 分
	排名 15 4164 承業醫(生技醫療) 10 分
	排名 16 2013 中鋼構(鋼鐵) 10 分
	排名 17 1525 江申(電機) 10 分
	排名 18 9911 櫻花(其他) 10 分
	排名 19 1507 永大(電機) 10 分
	排名 20 2317 鴻海(其它電子) 9 分

日期：2017/12/20
所有評分總合為 102 分。
不含大盤評分總合為 50 分)。
總評分一半分數以上的公司數：0
評估分數排名：
	排名 1 1307 三芳(塑膠) 15 分
	排名 2 1604 聲寶(電器電纜) 14 分
	排名 3 8429 金麗-KY(貿易百貨) 13 分
	排名 4 1525 江申(電機) 12 分
	排名 5 2204 中華(汽車) 12 分
	排名 6 2105 正新(橡膠) 12 分
	排名 7 4532 瑞智(電機) 12 分
	排名 8 2308 台達電(電子零組件) 11 分
	排名 9 9911 櫻花(其他) 11 分
	排名 10 2106 建大(橡膠) 11 分
	排名 11 3189 景碩(半導體) 11 分
	排名 12 6442 光聖(通信網路) 10 分
	排名 13 4426 利勤(紡織) 10 分
	排名 14 2013 中鋼構(鋼鐵) 10 分
	排名 15 4164 承業醫(生技醫療) 10 分
	排名 16 6201 亞弘電(其它電子) 10 分
	排名 17 3022 威強電(電腦週邊) 10 分
	排名 18 1521 大億(電機) 10 分
	排名 19 1507 永大(電機) 10 分
	排名 20 2451 創見(半導體) 10 分

日期：2017/12/22
所有評分總合為 102 分。
不含大盤評分總合為 50 分)。
總評分一半分數以上的公司數：0
評估分數排名：
	排名 1 1604 聲寶(電器電纜) 13 分
	排名 2 1307 三芳(塑膠) 13 分
	排名 3 4532 瑞智(電機) 12 分
	排名 4 6442 光聖(通信網路) 11 分
	排名 5 2105 正新(橡膠) 11 分
	排名 6 8429 金麗-KY(貿易百貨) 11 分
	排名 7 1525 江申(電機) 11 分
	排名 8 2204 中華(汽車) 10 分
	排名 9 9933 中鼎(其他) 10 分
	排名 10 3705 永信(生技醫療) 10 分
	排名 11 2013 中鋼構(鋼鐵) 10 分
	排名 12 8210 勤誠(電腦週邊) 10 分
	排名 13 2106 建大(橡膠) 10 分
	排名 14 1507 永大(電機) 10 分
	排名 15 2488 漢平(其它電子) 9 分
	排名 16 2308 台達電(電子零組件) 9 分
	排名 17 6216 居易(通信網路) 9 分
